,step,lr,grid,k,internal_units,batch,lamb,lamb_entropy,avg_val_loss
32,50,0.01,10,2,12,32,0.01,10,0.477315217256546
33,50,0.01,10,2,12,64,0.01,10,0.4055834710597992
34,50,0.01,10,2,16,32,0.01,10,0.4899924298127492
35,50,0.01,10,2,16,64,0.01,10,0.41843849420547485
36,50,0.01,10,2,12,32,0.01,100,0.9993206659952799
37,50,0.01,10,2,12,64,0.01,100,0.9991845885912577
38,50,0.01,10,2,16,32,0.01,100,0.9962931672732035
39,50,0.01,10,2,16,64,0.01,100,0.9990443388621012
40,50,0.01,10,2,12,32,0.1,10,0.9994967778523763
41,50,0.01,10,2,12,64,0.1,10,0.9993140498797098
42,50,0.01,10,2,16,32,0.1,10,0.9957062204678854
43,50,0.01,10,2,16,64,0.1,10,0.9995192885398865
44,50,0.01,10,2,12,32,0.1,100,1.000039279460907
45,50,0.01,10,2,12,64,0.1,100,1.0002902547518413
46,50,0.01,10,2,16,32,0.1,100,1.0007423957188923
47,50,0.01,10,2,16,64,0.1,100,1.000057339668274
48,50,0.01,10,3,12,32,0.01,10,0.47021881739298504
49,50,0.01,10,3,12,64,0.01,10,0.4061719477176666
50,50,0.01,10,3,16,32,0.01,10,0.47847703099250793
51,50,0.01,10,3,16,64,0.01,10,0.41939233740170795
52,50,0.01,10,3,12,32,0.01,100,0.999557892481486
53,50,0.01,10,3,12,64,0.01,100,1.0003247062365215
54,50,0.01,10,3,16,32,0.01,100,0.9950773517290751
55,50,0.01,10,3,16,64,0.01,100,0.997329850991567
56,50,0.01,10,3,12,32,0.1,10,0.9992629885673523
57,50,0.01,10,3,12,64,0.1,10,0.9993758996327718
58,50,0.01,10,3,16,32,0.1,10,0.9953986605008444
59,50,0.01,10,3,16,64,0.1,10,0.9992029865582784
60,50,0.01,10,3,12,32,0.1,100,0.9991626143455505
61,50,0.01,10,3,12,64,0.1,100,0.9988937576611837
62,50,0.01,10,3,16,32,0.1,100,1.000261386235555
63,50,0.01,10,3,16,64,0.1,100,1.0000956257184346
64,50,0.01,12,2,12,32,0.01,10,0.5085500478744507
65,50,0.01,12,2,12,64,0.01,10,0.4054011007150014
66,50,0.01,12,2,16,32,0.01,10,0.4345085322856903
67,50,0.01,12,2,16,64,0.01,10,0.37979186574618023
68,50,0.01,12,2,12,32,0.01,100,0.9976194103558859
69,50,0.01,12,2,12,64,0.01,100,0.9986986120541891
70,50,0.01,12,2,16,32,0.01,100,0.9988752007484436
71,50,0.01,12,2,16,64,0.01,100,0.9983085791269938
72,50,0.01,12,2,12,32,0.1,10,0.9974347154299418
73,50,0.01,12,2,12,64,0.1,10,0.998954176902771
74,50,0.01,12,2,16,32,0.1,10,0.9989063541094462
75,50,0.01,12,2,16,64,0.1,10,0.9984416762987772
76,50,0.01,12,2,12,32,0.1,100,1.0011852979660034
77,50,0.01,12,2,12,64,0.1,100,1.0006401141484578
78,50,0.01,12,2,16,32,0.1,100,1.0005109707514446
79,50,0.01,12,2,16,64,0.1,100,1.0001400510470073
80,50,0.01,12,3,12,32,0.01,10,0.500123123327891
81,50,0.01,12,3,12,64,0.01,10,0.4072644313176473
82,50,0.01,12,3,16,32,0.01,10,0.4279179672400157
83,50,0.01,12,3,16,64,0.01,10,0.38173866271972656
84,50,0.01,12,3,12,32,0.01,100,0.9973235328992208
85,50,0.01,12,3,12,64,0.01,100,0.9983100096384684
86,50,0.01,12,3,16,32,0.01,100,0.9978407820065817
87,50,0.01,12,3,16,64,0.01,100,0.9993720253308614
88,50,0.01,12,3,12,32,0.1,10,0.9993414680163065
89,50,0.01,12,3,12,64,0.1,10,0.9991722305615743
90,50,0.01,12,3,16,32,0.1,10,0.9987357060114542
91,50,0.01,12,3,16,64,0.1,10,0.9987134138743082
92,50,0.01,12,3,12,32,0.1,100,1.0000844597816467
93,50,0.01,12,3,12,64,0.1,100,0.9996976256370544
94,50,0.01,12,3,16,32,0.1,100,1.0000678102175395
95,50,0.01,12,3,16,64,0.1,100,1.000689725081126
96,50,0.001,8,2,12,32,0.01,10,0.8763551910718282
97,50,0.001,8,2,12,64,0.01,10,0.8569656014442444
98,50,0.001,8,2,16,32,0.01,10,0.8856255412101746
99,50,0.001,8,2,16,64,0.01,10,0.8687299291292826
100,50,0.001,8,2,12,32,0.01,100,0.939729650815328
101,50,0.001,8,2,12,64,0.01,100,0.9347325364748637
102,50,0.001,8,2,16,32,0.01,100,0.9536846876144409
103,50,0.001,8,2,16,64,0.01,100,0.9502499302228292
104,50,0.001,8,2,12,32,0.1,10,0.9437836209932963
105,50,0.001,8,2,12,64,0.1,10,0.9388967355092367
106,50,0.001,8,2,16,32,0.1,10,0.9559018810590109
107,50,0.001,8,2,16,64,0.1,10,0.9525320331255595
108,50,0.001,8,2,12,32,0.1,100,0.975233256816864
109,50,0.001,8,2,12,64,0.1,100,0.9773440758387247
110,50,0.001,8,2,16,32,0.1,100,0.9848125576972961
111,50,0.001,8,2,16,64,0.1,100,0.9842742482821146
112,50,0.001,8,3,12,32,0.01,10,0.8717163801193237
113,50,0.001,8,3,12,64,0.01,10,0.8569178382555643
114,50,0.001,8,3,16,32,0.01,10,0.8805281321207682
115,50,0.001,8,3,16,64,0.01,10,0.8696396152178446
116,50,0.001,8,3,12,32,0.01,100,0.9375200867652893
117,50,0.001,8,3,12,64,0.01,100,0.9355183641115824
118,50,0.001,8,3,16,32,0.01,100,0.951399048169454
119,50,0.001,8,3,16,64,0.01,100,0.9504226446151733
120,50,0.001,8,3,12,32,0.1,10,0.941552460193634
121,50,0.001,8,3,12,64,0.1,10,0.9397029479344686
122,50,0.001,8,3,16,32,0.1,10,0.953679362932841
123,50,0.001,8,3,16,64,0.1,10,0.9527073899904887
124,50,0.001,8,3,12,32,0.1,100,0.9723772009213766
125,50,0.001,8,3,12,64,0.1,100,0.9768134951591492
126,50,0.001,8,3,16,32,0.1,100,0.9827290376027426
127,50,0.001,8,3,16,64,0.1,100,0.9840344190597534
128,50,0.001,10,2,12,32,0.01,10,0.8986958861351013
129,50,0.001,10,2,12,64,0.01,10,0.8765295743942261
130,50,0.001,10,2,16,32,0.01,10,0.8924118280410767
131,50,0.001,10,2,16,64,0.01,10,0.8617992401123047
132,50,0.001,10,2,12,32,0.01,100,0.9608044425646464
133,50,0.001,10,2,12,64,0.01,100,0.9574613173802694
134,50,0.001,10,2,16,32,0.01,100,0.9828388492266337
135,50,0.001,10,2,16,64,0.01,100,0.9767955938975016
136,50,0.001,10,2,12,32,0.1,10,0.9625604152679443
137,50,0.001,10,2,12,64,0.1,10,0.9596648613611857
138,50,0.001,10,2,16,32,0.1,10,0.9920255343119303
139,50,0.001,10,2,16,64,0.1,10,0.9870260755221049
140,50,0.001,10,2,12,32,0.1,100,0.9865739941596985
141,50,0.001,10,2,12,64,0.1,100,0.9886062145233154
142,50,0.001,10,2,16,32,0.1,100,1.072634259859721
143,50,0.001,10,2,16,64,0.1,100,1.0695946216583252
144,50,0.001,10,3,12,32,0.01,10,0.8955593307813009
145,50,0.001,10,3,12,64,0.01,10,0.8757701516151428
146,50,0.001,10,3,16,32,0.01,10,0.8880935708681742
147,50,0.001,10,3,16,64,0.01,10,0.8591817220052084
148,50,0.001,10,3,12,32,0.01,100,0.9608144362767538
149,50,0.001,10,3,12,64,0.01,100,0.9583839376767477
150,50,0.001,10,3,16,32,0.01,100,0.9778691728909811
151,50,0.001,10,3,16,64,0.01,100,0.9757311741511027
152,50,0.001,10,3,12,32,0.1,10,0.9627483685811361
153,50,0.001,10,3,12,64,0.1,10,0.9606117606163025
154,50,0.001,10,3,16,32,0.1,10,0.9873061577479044
155,50,0.001,10,3,16,64,0.1,10,0.9861914118131002
156,50,0.001,10,3,12,32,0.1,100,0.9879987041155497
157,50,0.001,10,3,12,64,0.1,100,0.9891477227210999
158,50,0.001,10,3,16,32,0.1,100,1.0683281421661377
159,50,0.001,10,3,16,64,0.1,100,1.0702498356501262
160,50,0.001,12,2,12,32,0.01,10,0.9032270908355713
161,50,0.001,12,2,12,64,0.01,10,0.8727400700251261
162,50,0.001,12,2,16,32,0.01,10,0.8720313509305319
163,50,0.001,12,2,16,64,0.01,10,0.8479899764060974
164,50,0.001,12,2,12,32,0.01,100,0.9872206449508667
165,50,0.001,12,2,12,64,0.01,100,0.9860836267471313
166,50,0.001,12,2,16,32,0.01,100,0.9666276971499125
167,50,0.001,12,2,16,64,0.01,100,0.9616643985112509
168,50,0.001,12,2,12,32,0.1,10,0.9936630129814148
169,50,0.001,12,2,12,64,0.1,10,0.9925576647122701
170,50,0.001,12,2,16,32,0.1,10,0.9704920848210653
171,50,0.001,12,2,16,64,0.1,10,0.9660748243331909
172,50,0.001,12,2,12,32,0.1,100,1.0313398639361064
173,50,0.001,12,2,12,64,0.1,100,1.0314439535140991
174,50,0.001,12,2,16,32,0.1,100,1.004909594853719
175,50,0.001,12,2,16,64,0.1,100,1.0059250990549724
176,50,0.001,12,3,12,32,0.01,10,0.8988609512646993
177,50,0.001,12,3,12,64,0.01,10,0.871488074461619
178,50,0.001,12,3,16,32,0.01,10,0.8677811026573181
179,50,0.001,12,3,16,64,0.01,10,0.8467191457748413
180,50,0.001,12,3,12,32,0.01,100,0.9841058055559794
181,50,0.001,12,3,12,64,0.01,100,0.9867361386617025
182,50,0.001,12,3,16,32,0.01,100,0.9644896984100342
183,50,0.001,12,3,16,64,0.01,100,0.962131142616272
184,50,0.001,12,3,12,32,0.1,10,0.9913861950238546
185,50,0.001,12,3,12,64,0.1,10,0.9933096170425415
186,50,0.001,12,3,16,32,0.1,10,0.9690999587376913
187,50,0.001,12,3,16,64,0.1,10,0.9665356675783793
188,50,0.001,12,3,12,32,0.1,100,1.0296288927396138
189,50,0.001,12,3,12,64,0.1,100,1.0323633551597595
190,50,0.001,12,3,16,32,0.1,100,1.004079023996989
191,50,0.001,12,3,16,64,0.1,100,1.0060375134150188
192,50,0.0001,8,2,12,32,0.01,10,0.9788258075714111
193,50,0.0001,8,2,12,64,0.01,10,0.9768037796020508
194,50,0.0001,8,2,16,32,0.01,10,1.0084378520647685
195,50,0.0001,8,2,16,64,0.01,10,1.0037735501925151
196,50,0.0001,8,2,12,32,0.01,100,0.9866116642951965
