,learning_rate,batch_size,num_epochs,hidden_units,rho,mu,avg_val_loss
0,0.01,64,50,16,1,0.1,1.100423735876878
1,0.01,64,50,16,1,0.05,1.065819578866164
2,0.01,64,50,16,10,0.1,1.064647453526656
3,0.01,64,50,16,10,0.05,1.0657046760121982
4,0.01,64,50,32,1,0.1,1.1315103595455487
5,0.01,64,50,32,1,0.05,1.1099654982487361
6,0.01,64,50,32,10,0.1,1.1268364166220028
7,0.01,64,50,32,10,0.05,1.10993742197752
8,0.01,64,20,16,1,0.1,0.8316037567953268
9,0.01,64,20,16,1,0.05,0.8273160234093666
10,0.01,64,20,16,10,0.1,0.8266055919229984
11,0.01,64,20,16,10,0.05,0.8273330902059873
12,0.01,64,20,32,1,0.1,0.7077845322589079
13,0.01,64,20,32,1,0.05,0.7082899541904529
14,0.01,64,20,32,10,0.1,0.7078562111904224
15,0.01,64,20,32,10,0.05,0.7084311755994955
16,0.01,32,50,16,1,0.1,0.6667916152212355
17,0.01,32,50,16,1,0.05,0.6162088890870412
18,0.01,32,50,16,10,0.1,0.6608579238255818
19,0.01,32,50,16,10,0.05,
20,0.01,32,50,32,1,0.1,0.653656765487459
21,0.01,32,50,32,1,0.05,0.6088932027419408
22,0.01,32,50,32,10,0.1,0.6557512339618471
23,0.01,32,50,32,10,0.05,0.614913464917077
24,0.01,32,20,16,1,0.1,1.0394757158226435
25,0.01,32,20,16,1,0.05,1.0623034056690004
26,0.01,32,20,16,10,0.1,1.04665850367811
27,0.01,32,20,16,10,0.05,1.0632760687006844
28,0.01,32,20,32,1,0.1,1.065265488624573
29,0.01,32,20,32,1,0.05,1.0947640693849987
30,0.01,32,20,32,10,0.1,1.069722369644377
31,0.01,32,20,32,10,0.05,1.0987516833676232
32,0.001,64,50,16,1,0.1,1.0791721120476723
33,0.001,64,50,16,1,0.05,1.065819578866164
34,0.001,64,50,16,10,0.1,1.064647453526656
35,0.001,64,50,16,10,0.05,1.0657046760121982
36,0.001,64,50,32,1,0.1,1.1315103595455487
37,0.001,64,50,32,1,0.05,1.1099654982487361
38,0.001,64,50,32,10,0.1,1.1268364166220028
39,0.001,64,50,32,10,0.05,1.10993742197752
40,0.001,64,20,16,1,0.1,0.8316037567953268
41,0.001,64,20,16,1,0.05,0.8273160234093666
42,0.001,64,20,16,10,0.1,0.8266055919229984
43,0.001,64,20,16,10,0.05,0.8273330902059873
44,0.001,64,20,32,1,0.1,0.7077845322589079
45,0.001,64,20,32,1,0.05,0.7082899541904529
46,0.001,64,20,32,10,0.1,0.7078562111904224
47,0.001,64,20,32,10,0.05,0.7084311755994955
48,0.001,32,50,16,1,0.1,0.6667916152212355
49,0.001,32,50,16,1,0.05,0.6162088890870412
50,0.001,32,50,16,10,0.1,0.6608579238255818
51,0.001,32,50,16,10,0.05,
52,0.001,32,50,32,1,0.1,0.653656765487459
53,0.001,32,50,32,1,0.05,0.6088932027419408
54,0.001,32,50,32,10,0.1,0.6557512339618471
55,0.001,32,50,32,10,0.05,0.614913464917077
56,0.001,32,20,16,1,0.1,1.0394757158226435
57,0.001,32,20,16,1,0.05,1.0623034056690004
58,0.001,32,20,16,10,0.1,1.04665850367811
59,0.001,32,20,16,10,0.05,1.0632760687006844
60,0.001,32,20,32,1,0.1,1.065265488624573
61,0.001,32,20,32,1,0.05,1.0947640693849987
62,0.001,32,20,32,10,0.1,1.069722369644377
63,0.001,32,20,32,10,0.05,1.0987516833676232
